Date,Description,Amount,Category
2024-01-01,Salary Deposit,3000.00,Income
2024-01-02,Whole Foods Market,-150.75,Groceries
2024-01-03,Shell Gas Station,-45.20,Transportation
2024-01-04,Apartment Rent,-1200.00,Housing
2024-01-05,Starbucks Coffee,-5.95,Entertainment
2024-01-06,Electric Bill,-85.40,Utilities
2024-01-07,Car Insurance,-120.00,Insurance
2024-01-08,Netflix Subscription,-15.99,Entertainment
2024-01-09,Target Shopping,-89.65,Shopping
2024-01-10,Restaurant Dinner,-67.80,Dining
2024-01-11,Credit Card Payment,-250.00,Debt Payment
2024-01-12,Gym Membership,-29.99,Health
2024-01-13,Uber Ride,-18.50,Transportation
2024-01-14,Grocery Store,-95.30,Groceries
2024-01-15,Emergency Fund Transfer,200.00,Savings
